hold_id,user_id,book_id,library_id,hold_date,expiry_date
1,39,43,3,2024-05-08 11:50:33.812314,2024-05-15 11:50:33.812314
2,21,51,3,2024-05-11 23:52:48.890476,2024-05-18 23:52:48.890476
3,34,25,2,2024-05-08 20:03:48.073325,2024-05-15 20:03:48.073325
4,35,5,1,2024-05-09 00:14:39.069264,2024-05-16 00:14:39.069264
5,39,40,2,2024-05-10 03:39:32.650602,2024-05-17 03:39:32.650602
6,4,39,2,2024-05-15 00:50:01.150923,2024-05-22 00:50:01.150923
7,29,58,3,2024-05-14 06:37:59.103348,2024-05-21 06:37:59.103348
8,6,21,2,2024-05-11 20:50:12.769901,2024-05-18 20:50:12.769901
9,26,27,2,2024-05-13 11:29:07.828879,2024-05-20 11:29:07.828879
10,30,18,1,2024-05-09 02:53:06.270119,2024-05-16 02:53:06.270119
11,32,24,2,2024-05-15 07:03:44.181807,2024-05-22 07:03:44.181807
12,18,59,3,2024-05-08 23:38:31.866700,2024-05-15 23:38:31.866700
13,39,46,3,2024-05-13 06:33:24.882227,2024-05-20 06:33:24.882227
14,6,31,2,2024-05-14 23:39:45.071031,2024-05-21 23:39:45.071031
15,24,28,2,2024-05-08 17:31:15.716748,2024-05-15 17:31:15.716748
16,45,4,1,2024-05-10 02:45:49.546225,2024-05-17 02:45:49.546225
17,23,50,3,2024-05-14 11:02:01.273913,2024-05-21 11:02:01.273913
18,35,14,1,2024-05-14 06:38:52.424475,2024-05-21 06:38:52.424475
19,35,3,1,2024-05-12 13:45:10.782254,2024-05-19 13:45:10.782254
20,48,5,1,2024-05-12 03:20:45.685857,2024-05-19 03:20:45.685857
21,6,22,2,2024-05-11 00:17:46.911788,2024-05-18 00:17:46.911788
22,22,9,1,2024-05-12 01:43:34.682277,2024-05-19 01:43:34.682277
23,19,53,3,2024-05-12 19:19:52.553865,2024-05-19 19:19:52.553865
24,14,42,3,2024-05-10 17:55:00.493561,2024-05-17 17:55:00.493561
25,31,54,3,2024-05-14 15:21:26.719167,2024-05-21 15:21:26.719167
26,2,8,1,2024-05-09 19:00:25.207301,2024-05-16 19:00:25.207301
27,29,32,2,2024-05-10 23:32:14.556848,2024-05-17 23:32:14.556848
28,20,22,2,2024-05-10 22:01:28.909869,2024-05-17 22:01:28.909869
29,48,36,2,2024-05-15 04:03:35.881216,2024-05-22 04:03:35.881216
30,33,45,3,2024-05-09 10:31:26.609096,2024-05-16 10:31:26.609096
31,47,11,1,2024-05-12 02:45:07.018963,2024-05-19 02:45:07.018963
32,20,54,3,2024-05-10 10:11:10.781249,2024-05-17 10:11:10.781249
33,31,58,3,2024-05-11 13:05:20.343674,2024-05-18 13:05:20.343674
34,13,30,2,2024-05-10 20:24:33.425996,2024-05-17 20:24:33.425996
35,26,26,2,2024-05-13 03:56:19.049122,2024-05-20 03:56:19.049122
36,15,49,3,2024-05-12 05:35:49.992279,2024-05-19 05:35:49.992279
37,35,31,2,2024-05-08 22:21:17.044433,2024-05-15 22:21:17.044433
38,17,41,3,2024-05-10 16:46:49.286280,2024-05-17 16:46:49.286280
39,40,9,1,2024-05-09 14:08:30.231200,2024-05-16 14:08:30.231200
40,1,30,2,2024-05-09 21:15:31.027817,2024-05-16 21:15:31.027817
41,23,5,1,2024-05-10 23:46:39.242355,2024-05-17 23:46:39.242355
42,11,11,1,2024-05-13 18:16:42.166748,2024-05-20 18:16:42.166748
43,1,53,3,2024-05-09 13:58:12.952287,2024-05-16 13:58:12.952287
44,17,5,1,2024-05-13 12:27:19.283941,2024-05-20 12:27:19.283941
45,32,33,2,2024-05-09 21:35:57.791978,2024-05-16 21:35:57.791978
46,34,51,3,2024-05-13 06:32:17.028222,2024-05-20 06:32:17.028222
47,36,38,2,2024-05-08 19:11:14.343593,2024-05-15 19:11:14.343593
48,24,1,1,2024-05-10 12:44:20.968195,2024-05-17 12:44:20.968195
49,2,31,2,2024-05-14 20:58:22.282167,2024-05-21 20:58:22.282167
50,8,60,3,2024-05-13 01:43:35.173957,2024-05-20 01:43:35.173957
